compost2016,,,Yield,Tillers,Heads,H2O,NO3,PMN,Porosity,,Protein,POXC,DOC,DON,MBC,MBN,BG,CBH,PHOS,NAG,BX,AG,SUL,LAP,PER1,InorganicC,SOC,Total_N,DOC_to_SOC,DON_to_N,MBC_to_SOC,MBN_to_N,C_to_N,DOC_to_DON,MBC_to_MBN,PMC,actinomycetes,gram_neg,gram_pos,AMF,sapro_fungi,,,,,,,,
Mg.ha,,,,,,percent,,,,,mg.kg,mg.kg,mg.kg,mg.kg,mg.kg,mg.kg,nmol.h.g,nmol.h.g,nmol.h.g,nmol.h.g,nmol.h.g,nmol.h.g,nmol.h.g,nmol.h.g,nmol.h.g,percent,percent,percent,ratio,ratio,ratio,ratio,ratio,ratio,ratio,mg.kg,% total MB,% total MB,% total MB,% total MB,% total MB,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sample_ID_Year,Plot,Sampling_Year,Year1_Compost,Year5_Compost,Compost_Rate,Compost_Application_Year,Cover_Crops,Rotation,Yield,Tillers,Heads,Porosity,Protein,POXC,PMC,Enzyme_BG,Enzyme_CBH,Enzyme_PHOS,Enzyme_NAG,Enzyme_BX,Enzyme_AG,Enzyme_SUL,Enzyme_LAP,H2O,NO3,DOC,DON,PMN,MBC,MBN,WSA,pH,EC,InorganicC,SOC,TN,PLFA_unspecified_microbe,PLFA_firmicutes,PLFA_actinobacteria,_PLFA_AMF,PLFA_gram_neg,PLFA_zygomycota,PLFA_asco_and_basidio,PLFA_gram_pos,PLFA_fungi,PLFA_bacteria,PLFA_total_micro,PLFA_F_to_B
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VARIABLE,FULL NAME,UNITS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year1_Compost,,Mg/ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year5_Compost,,Mg/ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cover_Crops,,presence or absense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yield,,kg.ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tillers,,per_plant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heads,,per_plant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porosity,,percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein,autoclaved citrate-extractable soil protein,mg/kg soil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POXC,permanganate oxidizable C,mg/kg soil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PMC,potentially mineralizable C,mg/kg soil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enzyme_BG, β-Glucosidase ,nmol/h/g soil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enzyme_CBH,Cellobiohydrolase,nmol/h/g soil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enzyme_PHOS,Acid Phosphatase,nmol/h/g soil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enzyme_NAG,N-Acetyl-β-Glucosaminidase/ chitinase,nmol/h/g soil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enzyme_BX,β-Xylosidase,nmol/h/g soil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enzyme_AG, 𝛼-Glucosidase,nmol/h/g soil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enzyme_SUL,Arylsulfatase,nmol/h/g soil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enzyme_LAP,Leucine Aminopeptidase,nmol/h/g soil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2O,gravimetric moisture,percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NO3,nitrate,mg/kg soil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOC,dissolved organic C,mg/kg soil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
